City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,totskoye,52.5248,52.7623,49.89,53,29,16.91,RU,1697499852
352,zweibrucken,49.25,7.3667,44.74,79,0,10.36,DE,1697499852
353,taoudenni,22.6783,-3.9836,86.4,16,99,7.23,ML,1697499852
354,porto novo,6.4965,2.6036,82.22,86,93,7.07,BJ,1697499853
355,vuokatti,64.146,28.2697,35.46,97,100,8.55,FI,1697499853
356,newman,37.3138,-121.0208,82.29,47,100,5.01,US,1697499853
357,zaragoza,41.6561,-0.8773,66.02,74,0,6.91,ES,1697499853
358,qusmuryn,52.4503,64.6311,49.12,73,15,8.03,KZ,1697499854
359,tulun,54.5611,100.5792,35.29,94,100,6.6,RU,1697499854
360,matoury,4.8483,-52.3317,82.36,83,0,3.44,GF,1697499854
361,gadzhiyevo,69.2551,33.3362,38.1,76,100,26.87,RU,1697499854
362,tara,56.8944,74.371,49.98,85,78,8.01,RU,1697499854
363,senanga,-16.1167,23.2667,76.93,45,98,4.5,ZM,1697499855
364,cova figueira,14.8905,-24.2934,79.2,65,75,9.06,CV,1697499855
365,sao martinho,39.5144,-9.1311,73.89,84,84,15.01,PT,1697499855
366,klyuchi,52.2667,79.1667,48.6,71,100,8.63,RU,1697499591
367,waingapu,-9.6567,120.2641,82.83,59,13,6.38,ID,1697499855
368,rio grande,-32.035,-52.0986,68.11,96,93,9.06,BR,1697499856
369,shelbyville,35.4834,-86.4603,52.36,54,100,5.75,US,1697499856
370,igrim,63.1906,64.4162,43.02,87,100,5.99,RU,1697499856
371,queenstown,-31.8976,26.8753,50.2,93,96,5.35,ZA,1697499856
372,velyka lepetykha,47.1757,33.9436,47.61,67,34,15.1,UA,1697499857
373,aasiaat,68.7098,-52.8699,12.92,98,97,9.08,GL,1697499857
374,maranding,7.9248,123.7715,83.79,72,47,1.63,PH,1697499857
375,ocos,14.5094,-92.1933,78.98,86,90,3.85,GT,1697499857
376,kawambwa,-9.7915,29.0791,70.9,72,100,5.88,ZM,1697499857
377,pariaman,-0.619,100.12,75.25,86,100,4.03,ID,1697499858
378,kas,36.2018,29.6377,70.86,56,0,3.49,TR,1697499858
379,tual,-5.6667,132.75,80.17,81,59,8.9,ID,1697499858
380,wuda,39.4994,106.7117,54.3,24,100,7.56,CN,1697499858
381,buta,2.7858,24.73,69.3,99,96,1.99,CD,1697499859
382,taro,-8.3862,115.28,73.4,59,56,2.59,ID,1697499859
383,keflavik,64.0049,-22.5624,41.43,87,100,6.91,IS,1697499859
384,ulladulla,-35.35,150.4667,59.77,52,97,7.96,AU,1697499859
385,makoua,0.0069,15.6333,71.65,98,100,1.43,CG,1697499860
386,sandakan,5.8402,118.1179,76.68,94,20,5.99,MY,1697499860
387,port isabel,26.0734,-97.2086,73.49,58,0,13.0,US,1697499860
388,vilyuchinsk,52.9306,158.4028,48.47,90,100,26.44,RU,1697499598
389,skeldon,5.8833,-57.1333,80.06,77,85,6.49,GY,1697499861
390,arklow,52.7931,-6.1414,51.71,84,100,11.72,IE,1697499861
391,formosa do rio preto,-11.0483,-45.1931,75.34,26,6,3.27,BR,1697499861
392,fort saskatchewan,53.7168,-113.2187,61.02,52,100,3.44,CA,1697499861
393,tecpan de galeana,17.25,-100.6833,75.7,95,99,5.66,MX,1697499862
394,cabo san lucas,22.8909,-109.9124,89.91,66,0,6.91,MX,1697499714
395,kuching,1.55,110.3333,82.02,92,40,1.99,MY,1697499862
396,samsat,37.5819,38.4742,63.64,43,32,3.58,TR,1697499862
397,xichang,27.8964,102.2634,58.48,87,88,1.03,CN,1697499862
398,thurso,58.5927,-3.5259,51.85,73,94,21.03,GB,1697499863
399,kenai,60.5544,-151.2583,48.09,66,40,19.57,US,1697499863
400,mogocha,53.7333,119.7667,33.75,48,76,1.99,RU,1697499863
401,la'ie,21.6477,-157.9253,89.06,69,88,5.01,US,1697499790
402,luena,-11.7833,19.9167,69.98,83,0,4.61,AO,1697499864
403,los lunas,34.8062,-106.7334,78.48,28,0,6.06,US,1697499605
404,kruisfontein,-34.0033,24.7314,55.08,93,1,6.02,ZA,1697499864
405,dhulikhel,27.6189,85.5529,57.38,88,58,3.4,NP,1697499864
406,luanda,-8.8368,13.2343,77.0,83,75,6.91,AO,1697499864
407,stony plain,53.5334,-114.0021,60.91,55,20,5.75,CA,1697499865
408,quellon,-43.1167,-73.6167,43.25,90,4,5.73,CL,1697499773
409,phu kradueng,16.8843,101.8847,72.64,90,95,2.21,TH,1697499865
410,nizhniy ingash,56.2,96.53,37.78,96,100,14.16,RU,1697499865
411,wakkanai,45.4094,141.6739,40.98,87,75,13.8,JP,1697499865
412,sarina,-21.4333,149.2167,88.27,34,2,9.51,AU,1697499866
413,gandajika,-6.75,23.95,69.73,83,65,0.98,CD,1697499866
414,dunedin,-45.8742,170.5036,52.81,63,67,1.99,NZ,1697499819
415,peace river,56.2501,-117.286,59.31,54,100,11.5,CA,1697499639
416,ajdabiya,30.7554,20.2263,75.09,71,0,5.82,LY,1697499866
417,inirida,3.8653,-67.9239,73.58,91,92,1.48,CO,1697499867
418,jaicos,-7.3592,-41.1378,81.99,24,3,5.68,BR,1697499867
419,grand falls-windsor,48.9332,-55.6649,41.5,92,100,11.01,CA,1697499867
420,yaounde,3.8667,11.5167,67.93,100,96,1.97,CM,1697499867
421,zyryanskoye,56.8306,86.6258,45.59,83,100,14.32,RU,1697499867
422,touros,-5.1989,-35.4608,77.59,75,46,19.44,BR,1697499709
423,narrabri,-30.3167,149.7833,66.52,32,0,10.0,AU,1697499868
424,ketchikan,55.3422,-131.6461,57.18,94,75,11.5,US,1697499868
425,kyshtovka,56.555,76.6271,44.35,67,76,13.0,RU,1697499868
426,raja,8.4596,25.678,69.03,98,100,3.49,SS,1697499869
427,sur,22.5667,59.5289,80.73,71,0,11.14,OM,1697499869
428,swakopmund,-22.6833,14.5333,56.25,87,6,3.0,NA,1697499869
429,kuruman,-27.4524,23.4325,57.99,48,0,14.43,ZA,1697499869
430,kulhudhuffushi,6.6221,73.07,82.78,73,68,14.14,MV,1697499869
431,amursk,50.2261,136.8994,36.99,83,100,7.47,RU,1697499870
